class_name,class_index,total_samples,correct_predictions,accuracy,avg_confidence,min_confidence,max_confidence
01_palm,0,400,333,0.8325,0.838580846786499,0.0062376526184380054,1.0
02_l,1,400,367,0.9175,0.9133385419845581,0.021729806438088417,1.0
03_fist,2,400,103,0.2575,0.32944607734680176,5.492183845490217e-05,1.0
04_fist_moved,3,400,326,0.815,0.8014729022979736,0.0026400901842862368,0.9991782307624817
05_thumb,4,400,307,0.7675,0.759514331817627,0.0033670314587652683,0.9999992847442627
06_index,5,400,400,1.0,0.9996128678321838,0.9943724870681763,1.0
07_ok,6,400,400,1.0,0.9990103244781494,0.9649617075920105,0.9999964237213135
08_palm_moved,7,400,400,1.0,0.9996163249015808,0.998264729976654,0.9999560117721558
09_c,8,400,400,1.0,0.9985032081604004,0.9744704365730286,1.0
10_down,9,400,400,1.0,0.9999999403953552,0.9999980926513672,1.0
